	pv_measurement
2880	0.0
2881	0.0
2882	0.0
2883	0.8625
2884	38.8125
2885	155.25
2886	163.0125
2887	105.225
2888	102.6375
2889	308.775
2890	239.775
2891	303.6
2892	317.4
2893	227.7
2894	209.5875
2895	164.7375
2896	93.15
2897	46.575
2898	11.2125
2899	0.0
2900	0.0
2901	0.0
2902	0.0
2903	0.0
2904	0.0
2905	0.0
2906	0.0
2907	5.175
2908	50.025
2909	124.2
2910	306.1875
2911	490.7625
2912	677.925
2913	477.825
2914	912.525
2915	842.6625
2916	732.2625
2917	576.15
2918	386.4
2919	265.65000000000003
2920	160.425
2921	141.45
2922	62.9625
2923	1.725
2924	0.0
2925	0.0
2926	0.0
2927	0.0
2928	0.0
2929	0.0
2930	0.0
2931	0.8625
2932	51.75
2933	133.6875
2934	196.65
2935	285.4875
2936	250.125
2937	422.625
2938	878.025
2939	542.5124999999999
2940	545.9625
2941	668.4375
2942	457.9875
2943	360.525
2944	222.525
2945	109.5375
2946	29.325
2947	6.9
2948	0.0
2949	0.0
2950	0.0
2951	0.0
2952	0.0
2953	0.0
2954	0.0
2955	1.725
2956	31.9125
2957	79.35
2958	118.1625
2959	100.05
2960	181.9875
2961	131.1
2962	88.8375
2963	147.4875
2964	146.625
2965	218.2125
2966	143.175
2967	139.725
2968	160.425
2969	179.4
2970	78.4875
2971	2.5875
2972	0.0
2973	0.0
2974	0.0
2975	0.0
2976	0.0
2977	0.0
2978	0.0
2979	4.3125
2980	30.1875
2981	85.3875
2982	186.3
2983	192.3375
2984	126.7875
2985	403.65
2986	251.85
2987	359.6625
2988	644.2875
2989	526.9875000000001
2990	225.975
2991	190.6125
2992	299.2875
2993	123.3375
2994	40.5375
2995	2.5875
2996	0.0
2997	0.0
2998	0.0
2999	0.0
3000	0.0
3001	0.0
3002	0.0
3003	24.15
3004	75.9
3005	282.9
3006	552.0
3007	712.425
3008	865.0875
3009	989.2875
3010	846.975
3011	332.0625
3012	644.2875
3013	657.225
3014	665.85
3015	478.6875
3016	332.925
3017	132.82500000000002
3018	42.2625
3019	3.45
3020	0.0
3021	0.0
3022	0.0
3023	0.0
3024	0.0
3025	0.0
3026	0.0
3027	28.4625
3028	99.1875
3029	112.9875
3030	323.4375
3031	587.3625
3032	715.875
3033	549.4125
3034	501.975
3035	770.2125
3036	1073.8125
3037	552.8625
3038	588.225
3039	578.7375
3040	215.625
3041	153.525
3042	86.25
3043	3.45
3044	0.0
3045	0.0
3046	0.0
3047	0.0
3048	0.0
3049	0.0
3050	0.0
3051	3.45
3052	47.4375
3053	301.0125
3054	439.0125
3055	663.2625
3056	798.675
3057	338.9625
3058	715.875
3059	1009.9875
3060	836.625
3061	754.6875
3062	413.1375
3063	573.5625
3064	287.2125
3065	139.725
3066	60.375
3067	7.7625
3068	0.0
3069	0.0
3070	0.0
3071	0.0
3072	0.0
3073	0.0
3074	0.0
3075	37.95
3076	136.275
3077	318.2625
3078	430.3875
3079	564.075
3080	378.6375
3081	303.6
3082	441.6
3083	388.125
3084	186.3
3086	86.25
3087	46.575
3088	34.5
3089	10.35
3090	3.45
3091	0.0
3092	0.0
3093	13.8
3101	130.23749999999998
3102	215.625
3103	520.0875
3104	451.0875
3105	293.25
3106	267.375
3107	683.9625
3108	882.3375
3109	643.425
3110	474.375
3111	664.125
3112	284.625
3113	47.4375
3114	13.8
3115	0.0
3116	0.0
3117	0.0
3118	0.0
3119	0.0
3120	0.0
3121	0.0
3122	0.0
3123	0.0
3124	19.8375
3125	43.9875
3126	100.05
3127	171.6375
3128	176.8125
3129	282.9
3130	344.1375
3131	381.225
3132	237.1875
3133	379.5
3134	523.5375
3135	327.75
3136	258.75
3137	63.825
3138	31.05
3139	6.9
3140	0.0
3141	0.0
3142	0.0
3143	0.0
3144	0.0
3145	0.0
3146	0.0
3147	13.8
3148	106.0875
3149	279.45
3150	382.0875
3151	552.8625
3152	787.4625
3153	827.1375
3154	834.0375
3155	610.65
3156	1152.3
3157	552.0
3158	562.35
3159	539.0625
3160	263.0625
3161	163.875
3162	50.025
3163	10.35
3164	0.0
3165	0.0
3166	0.0
3167	0.0
3168	0.0
3169	0.0
3170	0.0
3171	24.15
3172	85.3875
3173	157.8375
3174	194.925
3175	305.325
3176	708.975
3177	399.3375
3178	704.6625
3179	572.7
3180	480.4125
3181	721.05
3182	526.9875000000001
3183	563.2125
3184	228.5625
3185	106.95
3186	83.6625
3187	18.1125
3188	0.0
3189	0.0
3190	0.0
3191	0.0
3192	0.0
3193	0.0
3194	0.0
3195	0.8625
3196	17.25
3197	77.625
3198	315.675
3199	416.5875
3200	778.8375
3201	592.5375
3202	620.1375
3203	409.6875
3204	260.47499999999997
3205	320.85
3206	175.0875
3207	285.4875
3208	190.6125
3209	81.9375
3210	44.85
3211	8.625
3212	0.0
3213	0.0
3214	0.0
3215	0.0
3216	0.0
3217	0.0
3218	0.0
3219	0.8625
3220	31.05
3221	50.025
3222	116.4375
3223	163.0125
3224	246.675
3225	379.5
3226	599.4375
3227	940.9875
3228	972.9
3229	844.3875
3230	664.125
3231	483.0
3232	393.3
3233	194.925
3234	131.9625
3235	41.4
3236	0.8625
3237	0.0
3238	0.0
3239	0.0
3240	0.0
3241	0.0
3242	0.0
3243	14.6625
3244	94.875
3245	85.3875
3246	153.525
3247	236.325
3248	405.375
3249	557.175
3250	785.7375
3251	792.6375
3252	903.9
3253	819.375
3254	662.4
3255	431.25
3256	332.0625
3257	172.5
3258	95.7375
3259	23.2875
3260	0.0
3261	0.0
3262	0.0
3263	0.0
3264	0.0
3265	0.0
3266	4.3125
3267	50.025
3268	164.7375
3269	338.1
3270	526.125
3271	691.725
3272	876.3
3273	976.35
3274	1017.75
3275	1023.7875
3276	957.375
3277	815.925
3278	674.475
3279	501.975
3280	335.5125
3281	175.95
3282	94.875
3283	34.5
3284	0.0
3285	0.0
3286	0.0
3287	0.0
3288	0.0
3289	0.0
3290	18.1125
3291	69.8625
3292	118.1625
3293	199.2375
3294	541.65
3295	563.2125
3296	845.25
3297	890.1
3298	759.0
3299	465.75
3300	808.1625
3301	655.5
3302	562.35
3303	467.475
3304	261.33750000000003
3305	215.625
3306	89.7
3307	23.2875
3308	0.0
3309	0.0
3310	0.0
3311	0.0
3312	0.0
3313	0.0
3314	7.7625
3315	98.325
3316	155.25
3317	217.35
3318	214.7625
3319	172.5
3320	83.6625
3321	67.27499999999999
3322	150.9375
3323	699.4875
3324	621.8625
3325	547.6875
3326	510.6
3327	374.325
3328	330.3375
3329	183.7125
3330	111.2625
3331	29.325
3332	0.8625
3333	0.0
3334	0.0
3335	0.0
3336	0.0
3337	0.0
3338	0.0
3339	33.637499999999996
3340	160.425
3341	346.725
3342	505.425
3343	695.175
3344	780.5625
3345	923.7375
3346	1002.225
3347	950.475
3348	982.3875
3349	868.5375
3350	706.3875
3351	520.9499999999999
3352	363.1125
3353	181.9875
3354	97.4625
3355	43.125
3356	1.725
3357	0.0
3358	0.0
3359	0.0
3360	0.0
3361	0.0
3362	17.25
3363	75.9
3364	142.3125
3365	161.2875
3366	244.95
3367	326.8875
3368	379.5
3369	780.5625
3370	1050.5249999999999
3371	1028.9624999999999
3372	553.725
3373	527.85
3374	604.6125
3375	398.475
3376	200.9625
3377	96.6
3378	77.625
3379	30.1875
3380	0.0
3381	0.0
3382	0.0
3383	0.0
3384	0.0
3385	0.0
3386	7.7625
3387	36.225
3388	93.15
3389	181.125
3390	246.675
3391	303.6
3392	269.09999999999997
3393	167.325
3394	262.2
3395	443.325
3396	543.375
3397	558.0375
3398	566.6625
3399	578.7375
3400	388.9875
3401	233.7375
3402	53.475
3403	14.6625
3404	0.0
3405	0.0
3406	0.0
3407	0.0
3408	0.0
3409	0.0
3410	0.0
3411	3.45
3412	17.25
3413	78.4875
3414	129.375
3415	198.375
3416	345.0
3417	445.9125
3418	816.7875
3419	884.0625
3420	495.9375
3421	263.0625
3422	315.675
3423	232.0125
3424	176.8125
3425	107.8125
3426	31.05
3427	6.9
3428	0.0
3429	0.0
3430	0.0
3431	0.0
3432	0.0
3433	0.0
3434	7.7625
3435	64.6875
3436	181.9875
3437	371.7375
3438	567.525
3439	755.55
3440	884.925
3441	1008.2625
3442	1053.9750000000001
3443	1063.4624999999999
3444	1043.625
3445	936.675
3446	664.9875
3447	409.6875
3448	351.0375
3449	188.8875
3450	176.8125
3451	53.475
3452	2.5875
3453	0.0
3454	0.0
3455	0.0
3456	0.0
3457	0.0
3458	7.7625
3459	42.2625
3460	101.775
3461	176.8125
3462	188.8875
3463	380.3625
3464	394.1625
3465	358.8
3466	348.45
3467	449.3625
3468	602.8875
3469	574.425
3470	683.9625
3471	434.7
3472	246.675
3473	166.4625
3474	113.85
3475	56.0625
3476	1.725
3477	0.0
3478	0.0
3479	0.0
3480	0.0
3481	0.0
3482	1.725
3483	8.625
3484	68.1375
3485	222.525
3486	409.6875
3487	610.65
3488	785.7375
3489	789.1875
3490	591.675
3491	700.35
3492	622.725
3493	479.55
3494	759.0
3495	683.1
3496	431.25
3497	276.8625
3498	105.225
3499	39.675
3500	0.8625
3501	0.0
3502	0.0
3503	0.0
3504	0.0
3505	0.0
3506	11.2125
3507	72.45
3508	91.425
3509	156.1125
3510	195.7875
3511	324.3
3512	321.7125
3513	318.2625
3514	278.5875
3515	608.0625
3516	961.6875
3517	613.2375
3518	689.1375
3519	406.2375
3520	415.725
3521	326.025
3522	155.25
3523	60.375
3524	5.175
3525	0.0
3526	0.0
3527	0.0
3528	0.0
3529	0.0
3530	12.9375
3531	56.925
3532	112.125
3533	217.35
3534	406.2375
3535	375.1875
3536	314.8125
3537	722.775
3538	670.1625
3539	396.75
3540	575.2875
3541	332.925
3542	276.8625
3543	180.2625
3544	59.5125
3545	37.0875
3546	9.4875
3547	0.0
3548	0.0
3549	0.0
3550	0.0
3551	0.0
3552	0.0
3553	0.0
3554	1.725
3555	45.7125
3556	138.0
3557	311.3625
3558	361.3875
3559	437.2875
3560	361.3875
3561	566.6625
3562	658.0875
3563	460.575
3564	640.8375
3565	702.075
3566	587.3625
3567	500.25
3568	361.3875
3569	187.1625
3570	143.175
3571	27.6
3572	3.45
3573	0.0
3574	0.0
3575	0.0
3576	0.0
3577	0.8625
3578	30.1875
3579	63.825
3580	138.8625
3581	245.8125
3582	606.3375
3583	566.6625
3584	799.5375
3585	1006.5375
3586	918.5625
3587	170.775
3588	90.5625
3589	156.1125
3590	79.35
3591	95.7375
3592	194.925
3593	150.075
3594	124.2
3595	54.3375
3596	0.0
3597	0.0
3598	0.0
3599	0.0
3600	0.0
3601	0.0
3602	2.5875
3603	42.2625
3604	186.3
3605	142.3125
3606	110.4
3607	276.0
3685	650.325
3686	489.9
3687	619.275
3688	406.2375
3689	257.02500000000003
3690	95.7375
3691	6.0375
3692	0.0
3693	0.0
3694	0.0
3695	0.0
3696	0.0
3697	0.8625
3698	30.1875
3699	110.4
3700	233.7375
3701	332.925
3702	563.2125
3703	583.9125
3704	908.2125
3705	975.4875
3706	1146.2625
3707	1042.7625
3708	577.0125
3709	514.0500000000001
3710	439.875
3711	577.0125
3712	251.85
3713	46.575
3714	54.3375
3715	46.575
3716	4.3125
3717	0.0
3718	0.0
3719	0.0
3720	0.0
3721	0.8625
3722	26.7375
3723	94.875
3724	225.1125
3725	309.6375
3726	324.3
3727	307.9125
3728	387.2625
3729	307.05
3730	290.6625
3731	248.4
3732	386.4
3733	769.35
3734	457.125
3735	432.975
3736	442.4625
3737	306.1875
3738	165.6
3739	55.2
3740	6.0375
3741	0.0
3742	0.0
3743	0.0
3744	0.0
3745	2.5875
3746	26.7375
3747	72.45
3748	200.1
3749	356.2125
3750	681.375
3751	657.225
3752	884.0625
3753	1005.675
3754	975.4875
3755	1019.475
