	pv_measurement
11663	0.0
11664	0.0
11665	0.0
11666	0.0
11667	19.6
11668	58.800000000000004
11669	88.2
11670	343.0
11671	686.0
11672	646.8000000000001
11673	901.6
11674	784.0
11675	617.4000000000001
11676	166.60000000000002
11677	264.6
11678	235.20000000000002
11679	88.2
11680	19.6
11681	9.8
11682	0.0
11683	0.0
11684	0.0
11685	0.0
11686	0.0
11687	0.0
11688	0.0
11689	0.0
11690	39.2
11691	117.60000000000001
11692	78.4
11693	98.0
11694	186.20000000000002
11695	274.40000000000003
11696	333.20000000000005
11697	372.40000000000003
11698	313.6
11699	509.6
11700	411.6
11701	343.0
11702	215.60000000000002
11703	186.20000000000002
11704	68.60000000000001
11705	19.6
11706	0.0
11707	0.0
11708	0.0
11709	0.0
11710	0.0
11711	0.0
11712	0.0
11713	0.0
11714	0.0
11715	39.2
11717	58.800000000000004
11718	235.20000000000002
11719	499.8
11720	343.0
11721	274.40000000000003
11722	333.20000000000005
11723	450.8
11724	470.40000000000003
11725	441.00000000000006
11726	205.8
11727	333.20000000000005
11728	127.4
11729	39.2
11730	0.0
11731	0.0
11732	0.0
11733	0.0
11734	0.0
11735	0.0
11736	0.0
11737	0.0
11738	9.8
11739	78.4
11740	117.60000000000001
11741	215.60000000000002
11742	352.8
11743	284.20000000000005
11744	254.8
11745	597.8000000000001
11746	813.4000000000001
11747	607.6
11748	558.6
11749	372.40000000000003
11750	264.6
11751	382.20000000000005
11752	127.4
11753	58.800000000000004
11754	0.0
11755	0.0
11756	0.0
11757	0.0
11758	0.0
11759	0.0
11760	0.0
11761	0.0
11762	19.6
11763	68.60000000000001
11764	107.80000000000001
11765	156.8
11766	274.40000000000003
11767	372.40000000000003
11768	362.6
11769	382.20000000000005
11770	352.8
11771	225.4
11772	470.40000000000003
11773	284.20000000000005
11774	127.4
11776	88.2
11777	19.6
11778	9.8
11779	0.0
11780	0.0
11781	0.0
11782	0.0
11783	0.0
11784	0.0
11785	0.0
11786	9.8
11787	49.0
11788	107.80000000000001
11789	264.6
11790	215.60000000000002
11791	313.6
11792	382.20000000000005
11793	411.6
11794	529.2
11795	431.20000000000005
11796	372.40000000000003
11797	411.6
11798	117.60000000000001
11799	107.80000000000001
11800	68.60000000000001
11801	39.2
11802	9.8
11803	0.0
11804	0.0
11805	0.0
11806	0.0
11807	0.0
11808	0.0
11809	0.0
11810	9.8
11811	68.60000000000001
11812	137.20000000000002
11813	166.60000000000002
11814	186.20000000000002
11815	441.00000000000006
11816	421.40000000000003
11817	539.0
11818	911.4000000000001
11819	509.6
11820	529.2
11821	362.6
11822	137.20000000000002
11823	107.80000000000001
11824	49.0
11825	39.2
11826	9.8
11827	0.0
11828	0.0
11829	0.0
11830	0.0
11831	0.0
11832	0.0
11833	0.0
11834	9.8
11835	29.400000000000002
11836	88.2
11837	127.4
11838	235.20000000000002
11839	196.0
11840	117.60000000000001
11841	176.4
11842	215.60000000000002
11843	284.20000000000005
11844	176.4
11846	245.00000000000003
11847	264.6
11848	127.4
11849	78.4
11850	19.6
11851	0.0
11852	0.0
11853	0.0
11854	0.0
11855	0.0
11856	0.0
11857	0.0
11858	19.6
11859	107.80000000000001
11860	147.0
11861	205.8
11862	196.0
11863	294.0
11864	254.8
11865	431.20000000000005
11866	421.40000000000003
11867	617.4000000000001
11868	490.00000000000006
11869	401.8
11870	215.60000000000002
11871	205.8
11872	186.20000000000002
11873	78.4
11874	19.6
11875	0.0
11876	0.0
11877	0.0
11878	0.0
11879	0.0
11880	0.0
11881	0.0
11882	19.6
11883	68.60000000000001
11884	107.80000000000001
11885	352.8
11886	333.20000000000005
11887	245.00000000000003
11888	68.60000000000001
11889	333.20000000000005
11890	450.8
11891	774.2
11892	784.0
11893	568.4000000000001
11894	382.20000000000005
11895	362.6
11896	19.6
11897	9.8
11898	0.0
11899	0.0
11900	0.0
11901	0.0
11902	0.0
11903	0.0
11904	0.0
11905	0.0
11906	0.0
11907	0.0
11908	0.0
11909	0.0
11910	0.0
11911	0.0
11912	9.8
11914	19.6
11916	39.2
11917	49.0
11918	39.2
11919	58.800000000000004
11920	49.0
11921	19.6
11922	0.0
11923	0.0
11924	0.0
11925	0.0
11926	0.0
11927	0.0
11928	0.0
11929	0.0
11930	0.0
11931	0.0
11932	0.0
11933	9.8
11934	19.6
11936	58.800000000000004
11937	78.4
11938	186.20000000000002
