iter	Passed	Remaining
0	953	90612
1	1646	77380
2	2372	73552
3	3046	70066
4	3718	67673
5	4397	65959
6	5067	64428
7	5715	62872
8	6708	64848
9	7950	68371
10	9025	69741
11	10029	70204
12	11054	70577
13	12050	70579
14	13075	70606
15	14086	70431
16	15418	71649
17	17102	74109
18	18804	76206
19	20459	77744
20	22126	79024
21	23803	80067
22	25457	80799
23	27084	81252
24	28543	81063
25	29965	80675
26	31423	80305
27	32853	79787
28	34297	79238
29	35742	78633
30	37195	77990
31	38596	77192
32	40721	77741
33	42853	78143
34	45224	78820
35	47531	79219
36	49844	79482
37	52091	79508
38	54487	79636
39	56771	79479
40	59722	80115
41	62676	80584
42	65845	81158
43	68955	81492
44	72061	81669
45	75002	81524
46	78068	81390
47	80847	80847
48	83667	80252
49	86395	79483
50	89200	78706
51	91928	77785
52	94686	76820
53	97490	75825
54	100537	74945
55	103468	73905
56	107866	73803
57	112321	73590
58	116577	73107
59	120642	72385
60	124715	71558
61	128698	70576
62	132925	69627
63	137125	68562
64	143143	68268
65	148719	67599
66	154514	66879
67	160066	65909
68	165699	64839
69	171278	63617
70	177194	62392
71	182779	60926
72	190372	59980
73	197936	58845
74	205313	57487
75	212770	55992
76	220241	54345
77	227573	52516
78	234946	50558
79	243201	48640
80	255025	47227
81	265876	45393
82	277158	43410
83	288287	41183
84	299188	38718
85	310732	36131
86	321760	33285
87	332655	30241
88	347055	27296
89	361877	24125
90	376763	20701
91	391691	17030
