,Model A,Model B,Model C
0,squared_direct_rad:W_2,direct_rad:W,sun_elevation:d
1,clear_sky_rad:W,squared_direct_rad:W_2,squared_clear_sky_rad:W_2
2,direct_rad:W,sun_elevation:d,squared_direct_rad:W_2
3,squared_diffuse_rad:W_2,squared_sun_elevation:d_2,direct_rad:W
4,squared_direct_rad_1h:J_2,day_of_year:day,squared_direct_rad_1h:J_2
5,squared_effective_cloud_cover:p_2,double_integral_is_in_shadow:idx_dintegral,clear_sky_rad:W
6,sun_elevation:d,double_derivative_direct_rad_1h:J_dd,integral_sun_elevation:d_integral
7,squared_clear_sky_energy_1h:J_2,direct_rad_1h:J,day_of_year:day
8,squared_relative_humidity_1000hPa:p_2,squared_diffuse_rad:W_2,clear_sky_energy_1h:J
9,squared_sun_elevation:d_2,squared_clear_sky_rad:W_2,t_1000hPa:K
10,squared_snow_water:kgm2_2,integral_is_in_shadow:idx_integral,direct_rad_1h:J
11,double_integral_air_density_2m:kgm3_dintegral,integral_cloud_base_agl:m_integral,squared_dew_point_2m:K_2
12,effective_cloud_cover:p,squared_cloud_base_agl:m_2,integral_fresh_snow_24h:cm_integral
13,double_integral_dew_point_2m:K_dintegral,clear_sky_rad:W,double_derivative_clear_sky_energy_1h:J_dd
14,squared_is_in_shadow:idx_2,derivative_clear_sky_energy_1h:J_d,integral_effective_cloud_cover:p_integral
15,double_integral_direct_rad_1h:J_dintegral,squared_t_1000hPa:K_2,integral_clear_sky_energy_1h:J_integral
16,squared_clear_sky_rad:W_2,t_1000hPa:K,double_derivative_diffuse_rad_1h:J_dd
17,relative_humidity_1000hPa:p,integral_elevation:m_integral,visibility:m
18,double_derivative_sun_azimuth:d_dd,sfc_pressure:hPa,derivative_diffuse_rad_1h:J_d
19,double_integral_wind_speed_10m:ms_dintegral,month:month,squared_clear_sky_energy_1h:J_2
20,squared_total_cloud_cover:p_2,integral_wind_speed_u_10m:ms_integral,double_integral_is_in_shadow:idx_dintegral
21,double_integral_total_cloud_cover:p_dintegral,squared_direct_rad_1h:J_2,squared_t_1000hPa:K_2
22,diffuse_rad_1h:J,squared_relative_humidity_1000hPa:p_2,double_derivative_direct_rad:W_dd
23,direct_rad_1h:J,double_integral_ceiling_height_agl:m_dintegral,derivative_clear_sky_energy_1h:J_d
24,diffuse_rad:W,double_integral_pressure_50m:hPa_dintegral,diffuse_rad:W
25,double_derivative_direct_rad_1h:J_dd,squared_diffuse_rad_1h:J_2,double_integral_wind_speed_v_10m:ms_dintegral
26,total_cloud_cover:p,squared_absolute_humidity_2m:gm3_2,absolute_humidity_2m:gm3
27,derivative_sun_azimuth:d_d,clear_sky_energy_1h:J,month:month
28,integral_effective_cloud_cover:p_integral,derivative_direct_rad_1h:J_d,dew_point_2m:K
29,integral_sun_azimuth:d_integral,derivative_diffuse_rad_1h:J_d,cloud_base_agl:m
30,derivative_direct_rad_1h:J_d,double_derivative_clear_sky_rad:W_dd,msl_pressure:hPa
31,double_integral_sfc_pressure:hPa_dintegral,is_day:idx,derivative_direct_rad:W_d
32,integral_total_cloud_cover:p_integral,double_derivative_diffuse_rad:W_dd,double_integral_fresh_snow_24h:cm_dintegral
33,sun_azimuth:d,pressure_100m:hPa,squared_pressure_50m:hPa_2
34,wind_speed_u_10m:ms,squared_pressure_100m:hPa_2,double_integral_snow_water:kgm2_dintegral
35,squared_pressure_100m:hPa_2,absolute_humidity_2m:gm3,integral_super_cooled_liquid_water:kgm2_integral
36,double_integral_is_in_shadow:idx_dintegral,squared_ceiling_height_agl:m_2,integral_clear_sky_rad:W_integral
37,derivative_clear_sky_energy_1h:J_d,double_derivative_direct_rad:W_dd,squared_cloud_base_agl:m_2
38,double_derivative_clear_sky_energy_1h:J_dd,double_integral_cloud_base_agl:m_dintegral,squared_diffuse_rad:W_2
39,double_integral_is_day:idx_dintegral,air_density_2m:kgm3,double_derivative_direct_rad_1h:J_dd
40,ceiling_height_agl:m,squared_dew_point_2m:K_2,squared_diffuse_rad_1h:J_2
41,integral_wind_speed_v_10m:ms_integral,squared_air_density_2m:kgm3_2,squared_absolute_humidity_2m:gm3_2
42,derivative_sun_elevation:d_d,derivative_clear_sky_rad:W_d,integral_wind_speed_v_10m:ms_integral
43,double_integral_direct_rad:W_dintegral,double_integral_snow_water:kgm2_dintegral,double_derivative_diffuse_rad:W_dd
44,day_of_year:day,derivative_diffuse_rad:W_d,derivative_diffuse_rad:W_d
45,integral_sun_elevation:d_integral,double_derivative_ceiling_height_agl:m_dd,double_integral_wind_speed_u_10m:ms_dintegral
46,double_integral_pressure_50m:hPa_dintegral,double_integral_wind_speed_10m:ms_dintegral,double_integral_ceiling_height_agl:m_dintegral
47,derivative_direct_rad:W_d,squared_msl_pressure:hPa_2,hour:hour
48,integral_air_density_2m:kgm3_integral,derivative_direct_rad:W_d,pressure_100m:hPa
49,squared_t_1000hPa:K_2,integral_sun_azimuth:d_integral,integral_is_in_shadow:idx_integral
50,integral_wind_speed_u_10m:ms_integral,dew_point_2m:K,air_density_2m:kgm3
51,clear_sky_energy_1h:J,squared_pressure_50m:hPa_2,integral_fresh_snow_6h:cm_integral
52,double_derivative_direct_rad:W_dd,cloud_base_agl:m,fresh_snow_24h:cm
53,double_integral_wind_speed_u_10m:ms_dintegral,double_derivative_clear_sky_energy_1h:J_dd,wind_speed_u_10m:ms
54,double_integral_relative_humidity_1000hPa:p_dintegral,squared_effective_cloud_cover:p_2,double_integral_sun_elevation:d_dintegral
55,integral_snow_density:kgm3_integral,integral_relative_humidity_1000hPa:p_integral,squared_precip_type_5min:idx_2
56,integral_sfc_pressure:hPa_integral,integral_ceiling_height_agl:m_integral,squared_msl_pressure:hPa_2
57,dew_point_2m:K,integral_super_cooled_liquid_water:kgm2_integral,sfc_pressure:hPa
58,squared_precip_type_5min:idx_2,double_integral_wind_speed_u_10m:ms_dintegral,sun_azimuth:d
59,t_1000hPa:K,diffuse_rad:W,derivative_clear_sky_rad:W_d
60,integral_is_in_shadow:idx_integral,double_derivative_diffuse_rad_1h:J_dd,integral_ceiling_height_agl:m_integral
61,squared_dew_point_2m:K_2,squared_clear_sky_energy_1h:J_2,double_derivative_clear_sky_rad:W_dd
62,squared_ceiling_height_agl:m_2,double_integral_snow_density:kgm3_dintegral,integral_snow_water:kgm2_integral
63,absolute_humidity_2m:gm3,integral_msl_pressure:hPa_integral,integral_pressure_100m:hPa_integral
64,double_integral_pressure_100m:hPa_dintegral,derivative_sun_azimuth:d_d,squared_wind_speed_u_10m:ms_2
65,integral_dew_point_2m:K_integral,double_integral_t_1000hPa:K_dintegral,double_integral_super_cooled_liquid_water:kgm2_dintegral
66,double_integral_clear_sky_rad:W_dintegral,msl_pressure:hPa,double_integral_snow_depth:cm_dintegral
67,wind_speed_v_10m:ms,integral_snow_water:kgm2_integral,derivative_pressure_100m:hPa_d
